Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,AMZN,AMZN,AMZN,AMZN,AMZN,,,
2022-10-12,2022,10,12,Wednesday,41,2022-41,112.49,113.83,111.4,112.9,45728700,0.006149206372302096,115.765,128.21220000000002
2022-10-13,2022,10,13,Thursday,41,2022-41,107.88,113.44,105.35,112.53,86868100,-0.00327726077574253,115.67571428571429,127.6724
2022-10-14,2022,10,14,Friday,41,2022-41,114.1,114.96,106.6,106.9,67737300,-0.05003107895219994,115.08642857142857,126.959
2022-10-17,2022,10,17,Monday,42,2022-42,110.11,114.19,110.09,113.79,62782000,0.06445275295885255,115.04214285714285,126.41879999999999
2022-10-18,2022,10,18,Tuesday,42,2022-42,119.06,119.52,114.79,116.36,65607400,0.022585461588422673,114.9242857142857,125.9578
2022-10-19,2022,10,19,Wednesday,42,2022-42,114.71,116.59,113.22,115.07,47198100,-0.01108629175628062,114.94357142857143,125.5026
2022-10-20,2022,10,20,Thursday,42,2022-42,113.83,118.24,113.51,115.25,48795100,0.0015642678860967596,115.10428571428572,124.95380000000002
2022-10-21,2022,10,21,Friday,42,2022-42,114.79,119.59,114.5,119.32,55660500,0.03531453097461368,115.35000000000001,124.5274
2022-10-24,2022,10,24,Monday,43,2022-43,119.98,120.39,116.57,119.82,49531500,0.004190412347291339,115.25928571428571,124.0528
2022-10-25,2022,10,25,Tuesday,43,2022-43,119.65,121.32,118.95,120.6,50934600,0.006509754475742646,115.23428571428572,123.60119999999999
2022-10-26,2022,10,26,Wednesday,43,2022-43,116.0,119.35,114.76,115.66,68802300,-0.040961814879887926,114.90285714285713,123.0188
2022-10-27,2022,10,27,Thursday,43,2022-43,113.92,114.12,109.77,110.96,129605400,-0.04063638620803933,114.64571428571428,122.396
2022-10-28,2022,10,28,Friday,43,2022-43,97.91,103.96,97.66,103.41,223133400,-0.06804249715805744,113.91285714285713,121.6182
2022-10-31,2022,10,31,Monday,44,2022-44,103.56,104.87,100.74,102.44,99251400,-0.009380148789788212,113.215,120.9024
2022-11-01,2022,11,1,Tuesday,44,2022-44,103.99,104.58,96.06,96.79,153370000,-0.05515425020719422,112.06428571428572,120.17379999999999
2022-11-02,2022,11,2,Wednesday,44,2022-44,97.32,97.74,92.01,92.12,135761800,-0.048248766657425834,110.60642857142857,119.34379999999999
2022-11-03,2022,11,3,Thursday,44,2022-44,92.47,93.5,89.02,89.3,136683300,-0.030612240672440172,109.3492857142857,118.45380000000002
2022-11-04,2022,11,4,Friday,44,2022-44,91.49,92.44,88.04,90.98,129101300,0.01881299269611514,107.72,117.52779999999998
2022-11-07,2022,11,7,Monday,45,2022-45,91.95,92.1,89.04,90.53,77495700,-0.00494619214148917,105.875,116.7234
